X,Y,FID,MSOA21CD,GlobalID,GlobalID_2
334381.4859,93039.0502000004,89,E02004273,0f99b0b8-b4d7-4c2a-8a05-e36c1d7865d2,96cc142f-ab21-4ab1-ba02-7f12fd1b9925
247140.8867,60272.9934999999,90,E02003124,ff69fc57-a80c-4e30-b655-d4b9bf412494,81062db6-65c2-49c2-9b8c-423f7841c196
471866.6086,166781.9417,91,E02003455,04968f21-4166-4714-8cfc-af831f43b426,f32c083b-adde-40f8-a045-41523e785ed3
464445.5023,102546.1228,92,E02003533,f23985ab-c9ab-4f1a-8363-a6f1515b4126,d2c9ee31-b1e7-4052-8cba-40345418b129
288834.9652,62189.8309000004,93,E02003164,c520b8e8-a695-46d9-aae4-d74e09ef423d,944a6e54-e905-494f-bc89-dd7ccc874b8c
498632.9617,149763.681299999,94,E02006358,f82f7d0c-c9c0-486d-8305-e054721ee177,91e77e0a-2234-4258-bcf1-0fe900d22866
164231.151,40150.7045000009,95,E02003924,7db4c712-0557-4c47-bf44-36afac470857,f2468285-4903-44d6-8c12-c60d0e258e1e
300206.6372,81161.2302000001,96,E02004147,5619314b-30b4-49cc-b49d-63afa9bb0794,a1e45508-325f-4606-a715-2ef0a2e41592
449421.514,89312.6780999992,97,E02003589,f1b801ab-b7d0-4eed-9fba-e1f7c6f68afe,fff51c3c-11a8-4f50-b152-606d377af28b
549810.715,99652.9240000006,98,E02004390,7d647cdf-1720-46c7-b1f5-07676a43efd6,50d6c58b-534d-475e-9ddf-47de3c37dce5
526195.7617,195585.655099999,99,E02000028,5c5fe373-d343-41e0-bdc1-e50b78b44631,9cb27270-c593-46a1-a849-54822109dfeb
407482.9548,96472.5782999992,100,E02003172,f245fb3a-675f-4bf9-adca-99a657aad8d1,5bc63d01-5526-44ec-b76f-a0d265807baa
496661.2753,158536.1327,101,E02006462,6b196d44-4af2-4d6a-86f4-194d52f18377,09e95ec0-db65-4479-8590-055eaba92d8b
292802.8318,92043.6873000003,102,E02004157,dd50184f-2b8a-4c99-b6b8-1132bacdbacb,fb7b15d7-0018-49ac-9e17-a2f4e73f5a5d
553704.9666,191800.692,103,E02000467,e6ad0a32-42e1-483c-b513-a2ed00e91799,727944e4-518d-4f0a-a3a5-855a34547607
557473.5534,148134.8562,104,E02005158,e9ac8a42-89ae-4a48-8cb6-641723ba1ef5,eea891be-4abc-4f76-b62c-733add09dc05
527249.5554,107190.978700001,105,E02003496,ab0110f5-e273-4a91-911b-29538f53c778,06fd6704-57df-4b6e-951c-a17d72a65ed4
578323.3304,156038.6589,106,E02005072,ffdef893-c805-4adb-aa13-99c4f565a3bd,898ed5b8-61ba-42aa-bd5c-6340195bf376
472487.8225,108155.9834,107,E02004770,d0df49fa-9bbc-4bd3-ab95-839ba7c32fde,da95bc78-ae43-4e4e-bc1d-819f6da53f56
530954.2281,105837.897500001,108,E02003504,238f04d9-fd9c-42cb-baf2-08c5724a4155,a079ae89-6a96-450d-8d0c-27a24c02096e
539885.0837,179307.157400001,109,E02006993,f67c813c-84ac-436b-8f2c-39dd7b217f21,65e3b357-caae-45d4-ada2-6576254f9a16
551191.1969,190598.7224,110,E02000471,0bb22b2b-b3e2-4cb3-8023-3b270cb569be,14cf7f65-c9db-4a35-a14a-e804fef3cdb8
277339.0489,84047.3544999994,111,E02004203,7e660fc0-69f6-47f3-be30-a3ade0b8a886,31e27011-1330-4b51-92de-4efd712e5389
488784.3897,160746.9636,112,E02006420,3b2c631d-84cd-40a8-9744-e58ce0f05257,1852995a-d297-4b27-947c-c9a2ea0062d4
401600.8957,99810.0583999995,113,E02004252,beed8325-7a0d-49f3-8139-a1401dcf58bb,ff4489b8-bb18-4019-b4a5-d7bc670aea4f
537991.675,169507.776799999,114,E02000138,43e6c8c9-69f8-4390-89dc-6c6e53eae37c,4f9bd697-5153-4de1-b684-9c1d8071af46
538107.0879,185055.1823,115,E02006995,423793cb-70be-419f-88e7-3ff3c2861d79,a3eaa0b6-9e21-4b9e-9901-6bf7664ec0db
471864.8817,99154.8885999992,116,E02004777,fb6a2c72-bf93-44a5-8189-5b2b64a76ce8,07ffe8be-a04e-455a-893e-6bf851f8b8d8
543083.7021,175740.216600001,117,E02000335,37dfed83-2279-4cfe-a3f6-c769eaf1d627,38df6581-9a25-4c0c-98dd-543999f70126
528706.4219,164841.0394,118,E02000849,7a370727-324d-4ca8-84cf-5c1433402502,ae9b3549-ec63-4ad7-8126-63a6eb508ec8
291118.5959,91854.6005000006,119,E02004158,5a7bc119-7d31-4f39-9d4a-01675294ec9a,dac6bbb7-1e47-4147-944a-406195c81ae9
443599.2784,103193.7696,120,E02004791,ca9543bf-91e5-48a7-88e7-41d19e3a922e,58b6d23f-d960-41b9-a726-82ae8571554e
532698.6346,184736.149599999,121,E02000567,ef933fca-7b8e-43d5-84b3-8f73aeb6f383,66b359e3-e71f-44f7-b8c3-328cb102fa81
492334.9025,100960.078,122,E02006553,7761a284-fdb9-45d6-af0f-d25babc81db8,afd69f5c-0588-49dc-85bf-011979f6f952
